name,lat,lon
basket ball ground,13.22878896158643,77.75811860881561
block a,13.22218146593191,77.75536079208621
block b,13.22338495888423,77.75590334931229
bridge,13.22444440291841,77.7565825972745
check post 1,13.22134834988586,77.75506057350998
cricket ground,13.22894430733003,77.75712817933989
flag post,13.22166758147098,77.75494814242636
food court,13.22484839810387,77.75730499294355
foot ball,13.22805437738187,77.7564117271198
hostel,13.22451873532033,77.75897591899185
in main gate,13.22014595317832,77.75403135586805
out gate,13.22012132174137,77.75499627331423
rest area,13.22850098297318,77.75777721438729
tennis court,13.22844592595368,77.75837243930013
volley ball ground,13.22868751604706,77.75857754333978
in out path_pt0,13.22014838185916,77.75406698769017
in out path_pt1,13.22012099273788,77.75413761558202
in out path_pt2,13.22137841503783,77.75491382559575
in out path_pt3,13.22119736025059,77.75526022498963
in out path_pt4,13.22140764149493,77.75540067910812
in out path_pt5,13.22141866152646,77.7557399188685
in out path_pt6,13.2214821816786,77.75608140773241
in out path_pt7,13.22163744909016,77.75639506881424
in out path_pt8,13.22196803195433,77.7567581292966
in out path_pt9,13.22234227484712,77.75694119085114
in out path_pt10,13.22272453101843,77.75702383871493
in out path_pt11,13.22319397358564,77.75699271302128
in out path_pt12,13.22332626166739,77.75700106134623
in out path_pt13,13.22334319154181,77.7572192468133
in out path_pt14,13.22340556019504,77.75749587878417
in out path_pt15,13.22350116701325,77.75763683089387
in out path_pt16,13.22467015131075,77.75837330988702
in out path_pt17,13.22419328244736,77.75911791916192
in out path_pt18,13.22462164158829,77.75938383345202
in out path_pt19,13.22473556498668,77.75918815656141
in out path_pt20,13.22457954164507,77.75910045581301
in out path_pt21,13.2247284599198,77.75881018276078
in out path_pt22,13.22477108566047,77.75873400262175
in out path_pt23,13.22460499205823,77.75865898988806
in out path_pt24,13.22451717999702,77.75860469511845
in out path_pt25,13.22466817148505,77.75837469882833
in out path_pt26,13.22524008961257,77.75749035762136
in out path_pt27,13.22539834725179,77.75717387306796
in out path_pt28,13.22461560120245,77.75676218344218
in out path_pt29,13.22402731270587,77.75634609626591
in out path_pt30,13.22414833354784,77.75592446025544
in out path_pt31,13.22414738752067,77.75543174187354
in out path_pt32,13.22398860789994,77.75492924489524
in out path_pt33,13.22361991424163,77.75449147746808
in out path_pt34,13.22314044525935,77.75423470777743
in out path_pt35,13.22245345425505,77.7542173415826
in out path_pt36,13.22199819938128,77.75443075886939
in out path_pt37,13.22162328948333,77.75462068324352
in out path_pt38,13.22119416009925,77.75526076592857
in out path_pt39,13.220042239128,77.75502072209095
block a path_pt0,13.2221645159599,77.75437183733027
block a path_pt1,13.22254959779564,77.75516264427945
block a path_pt2,13.22236438712756,77.75532935673466
block a path_pt3,13.22231213436891,77.75567878102345
block a path_pt4,13.22142253949789,77.75569950922984
block b path_pt0,13.22416372344049,77.75554326305407
block b path_pt1,13.22321819374405,77.75555714639428
block b path_pt2,13.22316863399251,77.75582084607598
block b path_pt3,13.22296526555348,77.75606776964484
block b path_pt4,13.22338780303519,77.75689932296895
block b path_pt5,13.22363200013468,77.75670770860707
block b path_pt6,13.22348200682108,77.75625844262312
block b path_pt7,13.22367834375099,77.75591433768993
block b path_pt8,13.22411376174003,77.75586409295978
block b path_pt9,13.22401224317246,77.75633605250317
block b path_pt10,13.22364070939646,77.75670534320007
a to b connection_pt0,13.22316090987734,77.75585732083076
a to b connection_pt1,13.22235939713642,77.75538470853503
a to b connection_pt2,13.22233756938869,77.75538574264921
food court_pt0,13.22484026403303,77.7571543660177
food court_pt1,13.22496955319645,77.75694278387311
path_pt0,13.22339084861569,77.7569156790353
path_pt1,13.22424690144013,77.75732110187268
path_pt2,13.22455037856446,77.7567010904228
path_pt0_1,13.22423258949083,77.75730743375455
path_pt1_1,13.22502979261888,77.75785460795917
path_pt0_2,13.22418397664135,77.7580659696002
path_pt1_2,13.2237967126006,77.75879312565566
path_pt2_1,13.22419187664302,77.75911535474233
sports_pt0,13.22466836840759,77.75835587425775
sports_pt1,13.22633249433505,77.75925897094785
sports_pt2,13.22685726050458,77.75913956796266
sports_pt3,13.2273359378927,77.75885474966336
sports_pt4,13.22771310603604,77.75822309326551
sports_pt5,13.22794261845856,77.75789660658523
sports_pt6,13.22814337731768,77.75776799068245
sports_pt7,13.22862049276636,77.75806751904607
Untitled path_pt0,13.228166384911,77.75776645839035
Untitled path_pt1,13.22848140271982,77.75749132893053
path_pt0_3,13.22815785335476,77.75775003387335
path_pt1_3,13.22803281817541,77.75730033831394
path_pt2_2,13.22667459676968,77.75640101441572
path_pt3,13.2257887929317,77.756443180125
path_pt4,13.22467978379378,77.75588997501912
path_pt5,13.22431747838816,77.75565020551316
path_pt6,13.22414811665508,77.75560915548948
path_pt0_4,13.22539869155361,77.75719603916103
path_pt1_4,13.22581893469296,77.75642828838768
path_pt0_5,13.22771336897386,77.75713011282677
path_pt1_5,13.22787778748852,77.75638008699907
Untitled path_pt0_1,13.22332008569357,77.75700597220974
Untitled path_pt1_1,13.22338822824734,77.75691413836826
Untitled path_pt0_2,13.22349987305836,77.75760983785759
Untitled path_pt1_2,13.22358006797426,77.75737764139181
